Name	Category	Effect
Shaderoot Carrot icon Shaderoot Carrot	General items	Produce that the King of Bountiful Harvests’ beloved steed likes to eat. It grew in a gloomy field.
Shalour Sable icon Shalour Sable	Medicine	Heals all major status conditions.
Sharp Beak icon Sharp Beak	Hold items	Increases the power of Flying-type moves.
Sharpedonite icon Sharpedonite	Hold items	Enables Sharpedo to Mega Evolve during battle.
Shed Shell icon Shed Shell	Hold items	A tough, discarded carapace to be held by a Pokémon. It enables the holder to switch with a waiting Pokémon in battle.
Shell Bell icon Shell Bell	Hold items	An item to be held by a Pokémon. The holder's HP is restored a little every time it inflicts damage.
Shellder Pearl icon Shellder Pearl	General items	Material obtained after defeating/catching Shellder, used in TM crafting.
Shellos Mucus icon Shellos Mucus	General items	Material obtained after defeating/catching Shellos, used in TM crafting.
Shinx Fang icon Shinx Fang	General items	Material obtained after defeating/catching Shinx, used in TM crafting.
Shiny Charm icon Shiny Charm	General items	A shiny charm said to increase the chance of finding a Shiny Pokémon in the wild.
Shiny Stone icon Shiny Stone	General items	Evolves certain species of Pokémon.
Shoal Salt icon Shoal Salt	General items	Pure salt that can be discovered deep inside the Shoal Cave. A maniac will buy it for a high price.
Shoal Shell icon Shoal Shell	General items	A pretty seashell that can be found deep inside the Shoal Cave. A maniac will buy it for a high price.
Shock Drive icon Shock Drive	Hold items	Changes Techno Blast to an Electric-type move when held by Genesect.
Shroodle Ink icon Shroodle Ink	General items	Material obtained after defeating/catching Shroodle, used in TM crafting.
Shroomish Spores icon Shroomish Spores	General items	Material obtained after defeating/catching Shroomish, used in TM crafting.
Shuca Berry icon Shuca Berry	Berries	Weakens a supereffective Ground-type attack against the holding Pokémon.
Shuppet Scrap icon Shuppet Scrap	General items	Material obtained after defeating/catching Shuppet, used in TM crafting.
Silicobra Sand icon Silicobra Sand	General items	Material obtained after defeating/catching Silicobra, used in TM crafting.
Silk Scarf icon Silk Scarf	Hold items	Increases the power of Normal-type moves.
Silver Bottle icon Silver Bottle		A popular option among hikers. It’s made with titanium, so it doesn’t rust even if it’s used to hold drinks with high sodium content.
Silver Cup icon Silver Cup		A popular option among hikers. It’s made with titanium, so it doesn’t rust even if it’s used to hold drinks with high sodium content.
Silver Leaf icon Silver Leaf	General items
Silver Nanab Berry icon Silver Nanab Berry	Berries	Greatly calms a Pokémon in battle, in Let's Go Pikachu/Eevee.
Silver Pick icon Silver Pick		A silver pick that oozes class. Using it on a sandwich lends an extravagant air that’ll make you want to eat up, even if you don’t love the fillings.
Silver Pinap Berry icon Silver Pinap Berry	Berries	Greatly increases chance of getting items when a Pokémon is caught, in Pokémon Let's Go.
Silver Powder icon Silver Powder	Hold items	Increases the power of Bug-type moves.
Silver Razz Berry icon Silver Razz Berry	Berries	Makes a Pokémon easier to catch in Pokémon Let's Go.
Sinistea Chip icon Sinistea Chip	General items	Material obtained after defeating/catching Sinistea, used in TM crafting.
Sitrus Berry icon Sitrus Berry	Berries	If held by a Pokémon, it heals the user's HP a little.
Skiddo Leaf icon Skiddo Leaf	General items	Material obtained after defeating/catching Skiddo, used in TM crafting.
Skrelp Kelp icon Skrelp Kelp	General items	Material obtained after defeating/catching Skrelp, used in TM crafting.
Skull Fossil icon Skull Fossil	General items	A fossil from a prehistoric Pokémon that lived on the land. It appears to be part of a head.
Skwovet Fur icon Skwovet Fur	General items	Material obtained after defeating/catching Skwovet, used in TM crafting.
Sky Plate icon Sky Plate	Hold items	Increases power of Flying-type moves. Changes Arceus' type to Flying.
Sky Tumblestone icon Sky Tumblestone	General items
Slakoth Fur icon Slakoth Fur	General items	Material obtained after defeating/catching Slakoth, used in TM crafting.
Slowbronite icon Slowbronite	Hold items	Enables Slowbro to Mega Evolve during battle.
Slowpoke Claw icon Slowpoke Claw	General items	Material obtained after defeating/catching Slowpoke, used in TM crafting.
Slowpoke Cup icon Slowpoke Cup		A cup for big-time Pokémon fans. Kids will happily drink out of it, making it a boon to parents.
Small Bouquet icon Small Bouquet	General items
Smart Candy icon Smart Candy	Medicine	Increases a Pokémon's Special Attack stat by 1.
Smart Candy L icon Smart Candy L	Medicine	Increases a Pokémon's Special Attack stat.
Smart Candy XL icon Smart Candy XL	Medicine	Increases a Pokémon's Special Attack stat.
Smiling Vee Pick icon Smiling Vee Pick		A pick designed after Eevee, sporting the Pokémon’s smiling face. It’s easy to grab by the ears, which is part of why it’s so popular.
Smoke Ball icon Smoke Ball	Hold items	An item to be held by a Pokémon. It enables the holder to flee from any wild Pokémon without fail.
Smoke Bomb icon Smoke Bomb	General items
Smoke-Poke Tail icon Smoke-Poke Tail	General items	One of the many ingredients that can be used for cooking at your camp. When a Slowpoke’s tail falls off, it grows back quickly.
Smoked Fillet icon Smoked Fillet		A very salty and bitter ingredient with that unmistakable smoky flavor. It pairs exceptionally well with veggies.
Smoliv Oil icon Smoliv Oil	General items	Material obtained after defeating/catching Smoliv, used in TM crafting.
Smooth Rock icon Smooth Rock	Hold items	A Pokémon held item that extends the duration of the move Sandstorm used by the holder.
Sneasel Claw icon Sneasel Claw	General items	Material obtained after defeating/catching Sneasel, used in TM crafting.
Snom Thread icon Snom Thread	General items	Material obtained after defeating/catching Snom, used in TM crafting.
Snorlium Z icon Snorlium Z	Hold items	Allows Snorlax to upgrade Giga Impact to a Z-Move, Pulverizing Pancake.
Snorunt Fur icon Snorunt Fur	General items	Material obtained after defeating/catching Snorunt, used in TM crafting.
Snover Berries icon Snover Berries	General items	Material obtained after defeating/catching Snover, used in TM crafting.
Snowball icon Snowball	Hold items	Raises Attack if hit by an Ice-type move.
Soda Pop icon Soda Pop	Medicine	Restores 50 HP.
Soft Sand icon Soft Sand	Hold items	Increases the power of Ground-type moves.
Solganium Z icon Solganium Z	Hold items	Allows Solgaleo to upgrade Sunsteel Strike to a Z-Move, Searing Sunraze Smash.
Sootfoot Root icon Sootfoot Root	General items
Soothe Bell icon Soothe Bell	Hold items	An item to be held by a Pokémon. It is a bell with a comforting chime that calms the holder and makes it friendly.
Soul Dew icon Soul Dew	Hold items	Increases the power of Psychic- and Dragon-type moves when held by Latios or Latias. Increases Sp.Atk/Sp.Def prior to Gen 7.
Soul Slate icon Soul Slate		A slate overflowing with enigmatic energy. You can feel a strong connection between it and the Soul Room at Ramanas Park.
Sour Herba Mystica icon Sour Herba Mystica		This surpassingly sour condiment is said to be super effective in helping the eater recover from exhaustion. Only a scant few people know it exists.
Spell Tag icon Spell Tag	Hold items	Increases the power of Ghost-type moves.
Spelon Berry icon Spelon Berry	Berries	A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
Spice Mix icon Spice Mix	General items	One of the many ingredients that can be used for cooking at your camp. There are over fifty spices contained within this ingredient’s hot flavor.
Spicy Herba Mystica icon Spicy Herba Mystica		The legendary condiment said to have the mightiest of all spicy flavors. It’s said that a single bite will kick the metabolism into high gear immediately.
Spiritomb Fragment icon Spiritomb Fragment	General items	Material obtained after defeating/catching Spiritomb, used in TM crafting.
Splash Plate icon Splash Plate	Hold items	Increases power of Water-type moves. Changes Arceus' type to Water.
Spoiled Apricorn icon Spoiled Apricorn	General items
Spoink Pearl icon Spoink Pearl	General items	Material obtained after defeating/catching Spoink, used in TM crafting.
Spooky Plate icon Spooky Plate	Hold items	Increases power of Ghost-type moves. Changes Arceus' type to Ghost.
Spooky Tablecloth icon Spooky Tablecloth		A pop-art-style tablecloth with Pokémon faces floating up from the deep nighttime blue. This is a must-have for fans of Ghost types.
Sport Ball icon Sport Ball	Pokeballs	A special Poké Ball for the Bug-Catching Contest.
Springy Mushroom icon Springy Mushroom	General items
Sprinklotad icon Sprinklotad	General items	A watering can shaped like a Lotad. It helps promote the healthy growth of any Berries planted in good, soft soil.
Squall Slate icon Squall Slate		A slate overflowing with enigmatic energy. You can feel a strong connection between it and the Squall Room at Ramanas Park.
Squawkabilly Feather icon Squawkabilly Feather	General items	Material obtained after defeating/catching Squawkabilly, used in TM crafting.
Stable Mulch icon Stable Mulch	General items	A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.
Stantler Hair icon Stantler Hair	General items	Material obtained after defeating/catching Stantler, used in TM crafting.
Star Piece icon Star Piece	General items	A shard of a pretty gem that sparkles in a red color. It can be sold at a high price to shops.
Star Sweet icon Star Sweet	Hold items	Evolves Milcery into Star Flavor Alcremie.
Stardust icon Stardust	General items	Lovely, red-colored sand with a loose, silky feel. It can be sold at a high price to shops.
Starf Berry icon Starf Berry	Berries	Sharply raises a random stat when HP is low.
Starly Feather icon Starly Feather	General items	Material obtained after defeating/catching Starly, used in TM crafting.
Stealth Spray icon Stealth Spray	General items
Steel Bottle (B) icon Steel Bottle (B)		A go-to bottle sometimes used while camping. The stainless steel keeps the temperature inside steady, making it great for keeping drinks hot or cold.
Steel Bottle (R) icon Steel Bottle (R)		A go-to bottle sometimes used while camping. The stainless steel keeps the temperature inside steady, making it great for keeping drinks hot or cold.
Steel Bottle (Y) icon Steel Bottle (Y)		A go-to bottle sometimes used while camping. The stainless steel keeps the temperature inside steady, making it great for keeping drinks hot or cold.
Steel Gem icon Steel Gem	Hold items	Increases the power of a Steel-type move only once.
Steel Memory icon Steel Memory	Hold items	Changes Silvally and its move Multi-Attack to Steel type.
Steel Tera Shard icon Steel Tera Shard		Changes a Pokémon's Tera Type to Steel.
Steelium Z icon Steelium Z	Hold items	Allows the use of Corkscrew Crash, the Steel type Z-Move.
Steelixite icon Steelixite	Hold items	Enables Steelix to Mega Evolve during battle.
Sticky Barb icon Sticky Barb	Hold items	A held item that damages the holder on every turn. It may latch on to foes and allies that touch the holder.
Sticky Glob icon Sticky Glob	General items
Stone Plate icon Stone Plate	Hold items	Increases power of Rock-type moves. Changes Arceus' type to Rock.
Stonjourner Stone icon Stonjourner Stone	General items	Material obtained after defeating/catching Stonjourner, used in TM crafting.
Strange Ball icon Strange Ball	Pokeballs
Strange Souvenir icon Strange Souvenir	General items	An ornament depicting a Pokémon that is venerated as a protector in some region far from Kalos.
Stratospheric Slate icon Stratospheric Slate		A slate overflowing with enigmatic energy. You can feel a strong connection between it and the Stratospheric Room at Ramanas Park.
Strawberry icon Strawberry		A very tart and sweet ingredient, popular for its ability to make a sandwich visually striking.
Strawberry Sweet icon Strawberry Sweet	Hold items	Evolves Milcery into Strawberry Flavor Alcremie.
Stretchy Spring icon Stretchy Spring	General items
Striped Bottle icon Striped Bottle		A striped bottle that’s small, light, and even comes with a cup. The detachable strap makes it handy for walking around with.
Striped Cup icon Striped Cup		A cup for kids to use at picnics. It’s made of light but strong material. It’s stackable, which makes it handy for carrying around.
Striped Tablecloth icon Striped Tablecloth		A tablecloth with a fashionable striped pattern. It’s great at repelling water and mold, and stains and smudges wipe right off.
Stunky Fur icon Stunky Fur	General items	Material obtained after defeating/catching Stunky, used in TM crafting.
Sun Stone icon Sun Stone	General items	Evolves certain species of Pokémon.
Sunkern Leaf icon Sunkern Leaf	General items	Material obtained after defeating/catching Sunkern, used in TM crafting.
Sunrise Flower Pick icon Sunrise Flower Pick		A flower pick designed to evoke a glorious sunrise. It’s part of a line of “sky-flower” picks. Using a few is guaranteed to boost that special picnic spirit.
Sunset Flower Pick icon Sunset Flower Pick		A flower pick designed to evoke a blazing sunset. It’s part of a line of “sky-flower” picks. Using a few is guaranteed to boost that special picnic spirit.
Super Lure icon Super Lure	General items	Attracts Pokémon in the wild.
Super Potion icon Super Potion	Medicine	Restores 60 HP.
Super Repel icon Super Repel	General items	An item that prevents weak wild Pokémon from appearing for 200 steps after its use.
Surskit Syrup icon Surskit Syrup	General items	Material obtained after defeating/catching Surskit, used in TM crafting.
Swablu Fluff icon Swablu Fluff	General items	Material obtained after defeating/catching Swablu, used in TM crafting.
Swampertite icon Swampertite	Hold items	Enables Swampert to Mega Evolve during battle.
Swap Snack icon Swap Snack	General items
Sweet Apple icon Sweet Apple	Hold items	Evolves Applin into Appletun.
Sweet Heart icon Sweet Heart	Medicine	Very sweet chocolate. It restores the HP of one Pokémon by only 20 points.
Sweet Herba Mystica icon Sweet Herba Mystica		A legendary condiment told of only in books. Word has it that one taste of its sweet flavor stimulates the digestive system and cures a lack of appetite.
Swift Feather icon Swift Feather	Medicine	Increases Speed EVs by 1.
Swift Mochi icon Swift Mochi	Medicine	Increases Speed EVs.
Swordcap icon Swordcap	General items
Syrupy Apple icon Syrupy Apple	Hold items	Evolves Applin into Dipplin.
Tadbulb Mucus icon Tadbulb Mucus	General items	Material obtained after defeating/catching Tadbulb, used in TM crafting.
Tamato Berry icon Tamato Berry	Berries	Increases Friendship but lowers Speed EVs.
Tandemaus Fur icon Tandemaus Fur	General items	Material obtained after defeating/catching Tandemaus, used in TM crafting.
Tanga Berry icon Tanga Berry	Berries	Weakens a supereffective Bug-type attack against the holding Pokémon.
Tapunium Z icon Tapunium Z	Hold items	Allows the Tapus to upgrade Nature's Madness to a Z-Move, Guardian of Alola.
Tarountula Thread icon Tarountula Thread	General items	Material obtained after defeating/catching Tarountula, used in TM crafting.
Tart Apple icon Tart Apple	Hold items	Evolves Applin into Flapple.
Tatsugiri Scales icon Tatsugiri Scales	General items	Material obtained after defeating/catching Tatsugiri, used in TM crafting.
Tauros Hair icon Tauros Hair	General items	Material obtained after defeating/catching Tauros, used in TM crafting.
Tectonic Slate icon Tectonic Slate		A slate overflowing with enigmatic energy. You can feel a strong connection between it and the Tectonic Room at Ramanas Park.
Teddiursa Claw icon Teddiursa Claw	General items	Material obtained after defeating/catching Teddiursa, used in TM crafting.
Tera Orb icon Tera Orb		An orb that holds within it the power to crystallize. When it is charged with energy, it can be used to cause Pokémon to Terastallize.
Terrain Extender icon Terrain Extender	Hold items	An item to be held by a Pokémon. It extends the duration of the terrain caused by the holder's move or Ability.
Thick Club icon Thick Club	Hold items	Increases Attack when held by Cubone or Marowak.
Throat Spray icon Throat Spray	Hold items	Raises Sp. Atk when a sound-based move is used.
Thunder Stone icon Thunder Stone	General items	Evolves certain species of Pokémon.
Timer Ball icon Timer Ball	Pokeballs	Catches Pokémon with a higher rate the more turns have occurred (up to 4x).
Timid Mint icon Timid Mint	Battle items	Changes the Pokémon's stats to match the Timid nature.
Tin of Beans icon Tin of Beans	General items	One of the many ingredients that can be used for cooking at your camp. When simmered, the beans suffuse a dish with their mild flavor.
Tinkatink Hair icon Tinkatink Hair	General items	Material obtained after defeating/catching Tinkatink, used in TM crafting.
Tiny Bamboo Shoot icon Tiny Bamboo Shoot		A small and rare bamboo shoot. It’s quite popular with a certain class of gourmands.
